mode,n,avg_turnaround,avg_response,avg_wait,avg_run,avg_sleep,avg_sched,total_turnaround,total_response,total_wait,total_run,total_sleep,total_sched
3,5,50.4,0.0,63.0,2.0,66.8,54.2,252,0,315,10,334,271
3,5,50.8,0.8,72.2,2.0,60.8,53.0,254,4,361,10,304,265
3,5,50.6,0.6,65.0,2.0,65.2,51.6,253,3,325,10,326,258
3,5,50.6,0.4,55.8,2.0,75.2,52.0,253,2,279,10,376,260
3,5,50.4,0.2,49.6,1.8,79.8,52.0,252,1,248,9,399,260
3,5,49.8,0.0,65.4,1.8,63.6,50.8,249,0,327,9,318,254
3,5,50.2,0.0,63.0,1.6,69.0,51.2,251,0,315,8,345,256
3,5,49.8,0.0,67.4,1.8,59.8,52.2,249,0,337,9,299,261
3,5,50.4,0.0,62.0,1.6,70.0,52.2,252,0,310,8,350,261
3,5,50.2,0.0,56.0,1.6,73.4,51.6,251,0,280,8,367,258
3,5,50.8,0.8,74.8,2.0,52.6,52.2,254,4,374,10,263,261
3,5,50.4,0.8,60.2,1.6,72.0,51.4,252,4,301,8,360,257
3,5,50.4,0.4,61.0,1.6,70.4,51.4,252,2,305,8,352,257
3,5,50.2,0.0,61.8,1.6,70.0,51.4,251,0,309,8,350,257
3,5,50.4,0.6,60.6,1.8,69.4,51.6,252,3,303,9,347,258
3,5,50.6,0.0,69.2,2.2,62.2,52.0,253,0,346,11,311,260
3,5,50.4,0.0,61.6,1.8,70.2,51.8,252,0,308,9,351,259
3,5,50.4,0.0,59.2,1.8,71.2,52.0,252,0,296,9,356,260
3,5,50.4,0.6,79.8,1.8,52.0,51.2,252,3,399,9,260,256
3,5,50.4,0.0,65.0,1.8,65.2,52.0,252,0,325,9,326,260
3,5,50.6,0.0,71.2,2.0,61.2,51.8,253,0,356,10,306,259
3,5,50.4,0.6,61.0,1.8,67.4,51.4,252,3,305,9,337,257
3,5,50.4,0.0,55.8,1.8,73.6,51.4,252,0,279,9,368,257
3,5,49.8,0.0,68.6,1.8,58.0,51.4,249,0,343,9,290,257
3,5,50.2,0.0,54.2,1.6,76.2,51.8,251,0,271,8,381,259
3,5,50.2,0.0,54.8,1.6,75.4,51.8,251,0,274,8,377,259
3,5,50.6,0.0,64.6,1.8,65.0,53.2,253,0,323,9,325,266
3,5,50.6,0.6,75.4,1.8,55.6,51.6,253,3,377,9,278,258
3,5,50.6,0.0,63.4,2.0,66.2,51.8,253,0,317,10,331,259
3,5,50.2,0.0,67.4,1.6,62.6,51.8,251,0,337,8,313,259
3,5,50.4,0.8,67.6,1.6,61.6,51.2,252,4,338,8,308,256
3,5,50.6,0.6,64.6,2.0,65.2,51.8,253,3,323,10,326,259
3,5,50.4,0.0,63.6,1.8,66.6,51.4,252,0,318,9,333,257
3,5,50.4,0.0,67.8,1.8,62.8,52.2,252,0,339,9,314,261
3,5,50.6,0.8,59.6,1.8,72.0,51.4,253,4,298,9,360,257
3,5,50.4,0.0,54.8,1.8,75.0,51.6,252,0,274,9,375,258
3,5,50.6,0.6,62.4,2.0,66.8,51.8,253,3,312,10,334,259
3,5,50.4,0.0,69.2,2.0,64.0,51.8,252,0,346,10,320,259
3,5,50.4,0.0,64.4,1.8,65.2,51.4,252,0,322,9,326,257
3,5,50.4,0.0,59.2,1.8,70.4,51.6,252,0,296,9,352,258
3,5,50.6,0.2,61.6,1.8,68.2,51.4,253,1,308,9,341,257
3,5,50.4,0.0,61.0,1.8,68.8,51.4,252,0,305,9,344,257
3,5,50.2,0.4,58.6,1.8,69.4,50.8,251,2,293,9,347,254
3,5,50.4,0.8,61.4,1.6,69.0,51.2,252,4,307,8,345,256
3,5,50.4,0.8,66.8,1.6,66.6,51.2,252,4,334,8,333,256
3,5,50.2,0.4,67.0,1.6,64.4,51.2,251,2,335,8,322,256
3,5,50.4,0.0,59.2,1.8,70.2,52.6,252,0,296,9,351,263
3,5,50.6,0.8,59.4,1.8,73.2,52.0,253,4,297,9,366,260
3,5,50.4,0.0,67.2,1.8,65.4,52.4,252,0,336,9,327,262
3,5,50.6,0.4,60.4,2.0,68.0,51.8,253,2,302,10,340,259
3,5,50.4,0.0,54.0,1.8,76.0,52.0,252,0,270,9,380,260
3,5,50.6,0.8,62.2,1.8,67.6,52.2,253,4,311,9,338,261
3,5,50.4,0.0,65.2,1.8,67.4,52.4,252,0,326,9,337,262
3,5,50.6,0.8,62.0,1.8,68.0,51.8,253,4,310,9,340,259
3,5,50.4,0.6,65.2,1.8,67.2,51.2,252,3,326,9,336,256
3,5,50.4,0.8,60.8,1.6,69.0,51.4,252,4,304,8,345,257
3,5,50.6,0.8,67.4,1.8,64.0,51.6,253,4,337,9,320,258
3,5,50.4,0.6,67.6,1.8,61.2,51.4,252,3,338,9,306,257
3,5,50.6,0.8,63.8,1.8,65.2,51.4,253,4,319,9,326,257
3,5,50.6,0.8,63.6,1.8,64.8,51.8,253,4,318,9,324,259
3,5,50.6,0.6,71.2,2.0,56.0,51.8,253,3,356,10,280,259
3,5,50.2,0.4,61.6,1.6,67.6,51.4,251,2,308,8,338,257
3,5,49.8,0.0,66.0,1.8,59.6,51.0,249,0,330,9,298,255
3,5,50.4,0.0,51.0,1.8,80.8,51.6,252,0,255,9,404,258
3,5,50.6,0.4,57.4,2.2,71.0,52.0,253,2,287,11,355,260
3,5,50.8,0.4,62.8,2.0,63.0,51.6,254,2,314,10,315,258
3,5,50.6,0.6,58.0,2.0,72.4,51.8,253,3,290,10,362,259
3,5,50.6,0.6,61.0,2.0,67.8,51.8,253,3,305,10,339,259
3,5,50.8,0.6,76.6,2.0,51.8,51.8,254,3,383,10,259,259
3,5,50.8,0.0,63.0,2.0,66.0,54.0,254,0,315,10,330,270
3,5,50.4,0.8,63.8,1.6,71.0,51.4,252,4,319,8,355,257
3,5,50.6,0.8,65.0,1.8,65.2,51.8,253,4,325,9,326,259
3,5,50.6,0.6,62.8,2.2,67.6,52.6,253,3,314,11,338,263
3,5,50.6,0.8,60.2,2.0,71.4,52.6,253,4,301,10,357,263
3,5,50.6,0.8,62.0,1.8,67.4,51.8,253,4,310,9,337,259
3,5,50.6,0.8,67.0,1.8,62.6,51.6,253,4,335,9,313,258
3,5,50.6,0.6,67.4,2.0,61.6,52.4,253,3,337,10,308,262
3,5,50.6,0.8,75.0,1.8,56.0,51.6,253,4,375,9,280,258
3,5,50.4,0.0,58.2,1.6,71.8,52.0,252,0,291,8,359,260
3,5,50.4,0.2,59.6,2.0,69.2,52.0,252,1,298,10,346,260
3,5,50.6,0.8,60.6,1.8,70.2,52.4,253,4,303,9,351,262
3,5,50.6,0.0,54.8,2.0,76.0,51.8,253,0,274,10,380,259
3,5,50.8,0.4,56.2,2.2,72.4,52.2,254,2,281,11,362,261
3,5,50.2,0.0,63.4,1.6,69.0,51.8,251,0,317,8,345,259
3,5,50.6,0.6,63.2,2.0,66.8,51.8,253,3,316,10,334,259
3,5,50.6,0.0,59.6,2.0,69.0,53.0,253,0,298,10,345,265
